Councilmanic,REGISTERED VOTERS - TOTAL,BALLOTS CAST - TOTAL,BALLOTS CAST - BLANK,Adjusted_Total_Pop,Adjusted_Total_Adult_Pop,Adjusted_Hispanic_Latino_Adult_Pop,Early Votes,Election Night Votes,Mail-In Ballot 1 Votes,Provisional Votes,Mail-In Ballot 2 Votes,Voted_Female,Voted_Male,Voted_UnknownSex,Voted_16to17,Voted_18to24,Voted_25to34,Voted_35to44,Voted_45to54,Voted_55to64,Voted_65plus
001,32475,14651,658,52195,43646,8583,4708,17148,6335,2063,4094,7097,6168,57,0,472,4752,3076,1424,1570,2028
013,25532,7026,345,39501,30231,2974,2785,8166,3656,846,1321,4091,2390,27,0,216,912,893,894,1492,2101
012,25827,8133,339,37879,31112,1597,1866,9789,3695,1050,1909,4186,3227,53,0,269,1814,1365,929,1280,1809
011,35715,15538,645,49176,43701,2146,2936,18858,8174,2295,4754,7364,6675,86,0,779,4168,2753,1624,1947,2854
003,28677,12443,404,38391,31118,1059,5193,13751,6562,1167,2673,7149,4785,13,0,462,1246,2093,2024,2461,3661
014,27757,13500,437,41161,35667,1724,3545,14060,8179,1380,3824,7282,5432,52,0,442,2176,2417,1687,2028,4016
004,30248,12521,453,39304,31465,959,5942,11671,7997,912,2517,7418,4575,20,1,463,1109,1794,1866,2605,4175
007,27963,9741,382,34560,28110,711,3282,11601,5082,1192,2049,5372,3645,24,0,256,1405,1651,1325,1769,2635
006,26829,9641,380,38802,31623,968,4323,10472,5880,922,1988,5722,3477,13,0,286,668,1161,1337,2061,3699
009,24151,5648,254,36033,27773,995,2580,6351,3123,577,837,3199,2086,10,0,137,466,649,725,1383,1935
008,30174,10452,495,19778,15368,329,6755,9299,6118,989,1854,6319,3652,22,0,312,910,1272,1415,2343,3741
010,22415,5578,260,42580,31415,4451,1432,7219,2416,497,903,3071,2214,18,0,192,762,879,767,1191,1512
002,27095,8990,355,42514,32801,2563,5068,9126,5384,588,1347,5440,3274,9,0,321,765,1288,1443,2088,2818
005,30276,12793,1099,20471,16090,558,6427,11048,8532,1133,2799,7206,5042,27,0,550,1188,1533,1666,2330,5008
