Councilmanic,Adjusted_Total_Pop,Adjusted_Total_Adult_Pop,Adjusted_Hispanic_Latino_Adult_Pop,Voted_Total,Voted_Female,Voted_Male,Voted_UnknownSex,Voted_16to17,Voted_18to29,Voted_30to49,Voted_50to64,Voted_65plus,Voted_UnknownAge,Voted_of_Adjusted_Adults,Hispanic_Latino_of_Adjusted_Adults,Female_of_Voted,Male_of_Voted,UnknownSex_of_Voted,Ages16to17_of_Voted,Ages18to29_of_Voted,Ages30to49_of_Voted,Ages50to64_of_Voted,Ages65plus_of_Voted,UnknownAge_of_Voted,Votes_by_Mail_Percent,In_Person_Votes_Percent,Provisional_Votes_Percent,Number_of_Democrat_Candidates,Number_of_Republican_Candidates
012,37879,31112,1597,8762,5124,3621,17,6,1343,2652,2212,2027,522,28.16,5.13,58.48,41.33,0.19,0.07,15.33,30.27,25.25,23.13,5.96,96.91,2.63,0.46,6,1
001,52195,43646,8583,10772,6017,4741,14,6,2038,4267,1903,1860,698,24.68,19.67,55.86,44.01,0.13,0.06,18.92,39.61,17.67,17.27,6.48,98.45,1.18,0.38,2,0
011,52680,46822,2285,12857,7185,5654,18,17,2491,4071,2683,2868,727,27.46,4.88,55.88,43.98,0.14,0.13,19.37,31.66,20.87,22.31,5.65,97.82,1.91,0.28,1,0
014,41161,35667,1724,12899,7612,5278,9,26,1441,3999,2814,3961,658,36.17,4.83,59.01,40.92,0.07,0.2,11.17,31,21.82,30.71,5.1,97.82,1.83,0.34,4,1
007,38178,31010,766,10613,6504,4099,10,13,1200,3051,2916,2878,555,34.22,2.47,61.28,38.62,0.09,0.12,11.31,28.75,27.48,27.12,5.23,96.82,2.69,0.48,5,1
006,39331,32076,983,11246,7080,4161,5,19,1039,2529,3128,3988,543,35.06,3.06,62.96,37,0.04,0.17,9.24,22.49,27.81,35.46,4.83,96.44,3.19,0.37,3,1
009,36033,27773,995,7356,4546,2801,9,9,693,1710,2319,2243,382,26.49,3.58,61.8,38.08,0.12,0.12,9.42,23.25,31.53,30.49,5.19,94.89,4.47,0.64,4,0
008,42100,33300,827,12610,8051,4552,7,20,1340,2909,3689,3982,670,37.87,2.48,63.85,36.1,0.06,0.16,10.63,23.07,29.25,31.58,5.31,96.06,3.68,0.26,2,0
010,42580,31415,4451,6140,3766,2372,2,3,790,1636,1877,1511,323,19.54,14.17,61.34,38.63,0.03,0.05,12.87,26.64,30.57,24.61,5.26,95.09,4.27,0.64,9,2
013,39501,30231,2974,8591,5492,3091,8,16,1044,2175,2534,2340,482,28.42,9.84,63.93,35.98,0.09,0.19,12.15,25.32,29.5,27.24,5.61,97.03,2.53,0.44,7,0
002,42514,32801,2563,10919,6892,4024,3,20,1206,2906,3352,2834,601,33.29,7.81,63.12,36.85,0.03,0.18,11.04,26.61,30.7,25.95,5.5,96.69,2.96,0.36,3,1
003,39887,32320,1102,13258,8156,5094,8,25,1397,4036,3561,3559,680,41.02,3.41,61.52,38.42,0.06,0.19,10.54,30.44,26.86,26.84,5.13,97.21,2.43,0.37,3,1
004,41510,33276,989,14149,8837,5299,13,34,1498,3633,4100,4159,725,42.52,2.97,62.46,37.45,0.09,0.24,10.59,25.68,28.98,29.39,5.12,97.36,2.32,0.31,10,0
005,43115,33313,1760,14557,8708,5830,19,52,1651,3287,3652,5234,681,43.7,5.28,59.82,40.05,0.13,0.36,11.34,22.58,25.09,35.96,4.68,96.95,2.72,0.33,2,1
