Precinct,Legislative
001-001,46
001-002,46
001-003,46
001-004,46
001-005,46
002-001,46
002-002,46
002-003,46
003-001,46
003-002,46
003-003,46
004-001,46
004-002,40
004-003,40
005-001,46
005-002,45
006-001,46
006-002,45
006-003,45
006-004,46
006-005,46
007-001,45
007-002,45
007-003,45
007-004,45
008-001,45
008-002,45
008-003,45
008-004,45
008-005,45
008-006,45
008-007,45
008-008,45
008-009,45
008-010,45
008-011,45
009-001,43A
009-002,43A
009-003,43A
009-004,43A
009-005,43A
009-006,43A
009-007,45
009-008,45
009-009,43A
009-010,43A
009-011,43A
009-012,43A
009-013,45
009-014,43A
009-015,45
010-001,45
010-002,45
010-003,46
010-004,45
011-001,40
011-002,40
011-003,40
011-004,40
011-005,40
011-006,46
011-007,46
011-008,45
012-001,43A
012-002,43A
012-003,43A
012-004,43A
012-005,43A
012-006,43A
012-007,43A
012-008,43A
012-009,40
012-010,43A
012-011,40
012-012,45
013-001,41
013-002,40
013-003,40
013-004,40
013-005,40
013-006,40
013-007,40
013-008,40
013-009,40
013-010,40
013-011,40
013-012,40
014-001,40
014-002,40
014-003,40
014-004,40
014-005,40
015-001,41
015-002,41
015-003,41
015-004,40
015-005,40
015-006,40
015-007,41
015-008,41
015-009,41
015-010,41
015-011,41
015-012,40
015-013,40
015-014,40
015-015,40
015-016,40
015-017,40
015-018,40
015-019,40
015-020,40
015-021,40
015-022,40
015-023,40
015-024,40
015-025,40
016-001,40
016-002,40
016-003,40
016-004,40
016-005,40
016-006,40
016-007,40
016-008,40
016-009,40
016-010,40
016-011,40
016-012,40
016-013,41
016-014,41
017-001,40
017-002,40
018-001,40
018-002,40
019-001,40
019-002,40
019-003,40
020-001,40
020-002,40
020-003,40
020-004,40
020-005,40
020-006,41
020-007,41
020-008,41
020-009,40
020-010,40
020-011,40
021-001,46
021-002,40
021-003,40
021-004,46
022-001,46
022-002,46
023-001,46
023-002,46
023-003,46
024-001,46
024-002,46
024-003,46
024-004,46
024-005,46
025-001,41
025-002,41
025-003,40
025-004,40
025-005,46
025-006,46
025-007,46
025-008,46
025-009,46
025-010,46
025-011,46
025-012,46
025-013,46
025-014,46
025-015,46
025-016,46
025-017,41
026-001,46
026-002,46
026-003,46
026-004,46
026-005,46
026-006,46
026-007,46
026-008,46
026-009,46
026-010,46
026-011,46
026-012,46
026-013,45
026-014,45
026-015,45
026-016,45
026-017,45
026-018,45
026-019,45
026-020,45
026-021,45
026-022,45
026-023,45
026-024,45
026-025,45
026-026,45
026-027,45
026-028,45
026-029,45
026-030,45
026-031,45
026-032,45
026-033,45
027-001,45
027-002,45
027-003,45
027-004,45
027-005,45
027-006,45
027-007,45
027-008,45
027-009,45
027-010,45
027-011,45
027-012,45
027-013,45
027-014,45
027-015,45
027-016,45
027-017,43A
027-018,45
027-019,45
027-020,43A
027-021,43A
027-022,43A
027-023,43A
027-024,43A
027-025,43A
027-026,43A
027-027,43A
027-028,43A
027-029,43A
027-030,43A
027-031,43A
027-032,43A
027-033,43A
027-034,43A
027-035,43A
027-036,43A
027-037,43A
027-038,43A
027-039,43A
027-040,41
027-041,43A
027-042,41
027-043,41
027-044,41
027-045,41
027-046,41
027-047,41
027-048,41
027-049,41
027-050,41
027-051,41
027-052,41
027-053,40
027-054,40
027-055,41
027-056,41
027-057,41
027-058,41
027-059,41
027-060,41
027-061,41
027-062,41
027-063,41
027-064,41
027-065,41
027-066,41
027-067,41
027-069,41
028-001,41
028-002,41
028-003,41
028-004,41
028-005,41
028-006,41
028-007,41
028-008,41
028-009,41
028-010,41
028-011,41
028-012,41
028-013,41
028-014,41
028-015,41
